[INFO ] 2024-10-22 11:22:31,093 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query 381324211
[INFO ] 2024-10-22 11:22:31,095 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query 381324211 is finished
[INFO ] 2024-10-22 11:22:34,693 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query -992450128
[INFO ] 2024-10-22 11:22:34,695 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query -992450128 is finished
[INFO ] 2024-10-22 11:22:34,709 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query -1284931034
[INFO ] 2024-10-22 11:22:34,710 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query -1284931034 is finished
[INFO ] 2024-10-22 11:22:34,712 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query -2114674251
[INFO ] 2024-10-22 11:22:34,717 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query -2114674251 is finished
[INFO ] 2024-10-22 11:22:34,719 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query 1626088692
[INFO ] 2024-10-22 11:22:34,721 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query 1626088692 is finished
[INFO ] 2024-10-22 11:22:38,375 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query -544746510
[INFO ] 2024-10-22 11:22:38,380 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query -544746510 is finished
[INFO ] 2024-10-22 11:22:38,382 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query 1309295783
[INFO ] 2024-10-22 11:22:38,383 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query 1309295783 is finished
[INFO ] 2024-10-22 11:22:38,386 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query 616684918
[INFO ] 2024-10-22 11:22:38,393 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query 616684918 is finished
